H1N1CY053301,0.000000,0.008834,0.212389,0.014134,0.607774,0.003534,0.008834,0.005300,0.008834,0.212389,0.208850,0.007067,0.012367,0.008834,0.008834,0.210619,0.007067,0.008834,0.040636,0.005300,0.005300,0.014134,0.008834,0.014134,0.613074,0.007067,0.602473,0.028269,0.012367,0.012367,0.005300,0.012367,0.005300,0.007067,0.012367,0.010601,0.015901,0.614841,0.600707,0.008834,0.606007,0.611307,0.208850,0.005300,0.012367,0.214159,0.007067,0.613074,0.008834,0.005300,0.005300,0.008834,0.017668,0.618375,0.607774,0.014134,0.007067,0.614841,0.019435,0.598940,0.007067,0.212389,0.606007,0.008834,0.014134,0.214159,0.607774,0.007067,0.003534,0.007067,0.008834,0.003534,0.611307,0.007067,0.207080,0.214159,0.010601,0.007067,0.217699,0.017668,0.005300,0.609541,0.618375,0.611307,0.010601,0.015901,0.007067,0.210619,0.212389,0.606007,0.214159,0.007067,0.010601,0.616608,0.611307,0.616608,0.613074,0.613074,0.611307,0.007067,0.017668,0.007067,0.613074,0.015901,0.210619,0.007067,0.014134,0.007067,0.005300,0.010601,0.604240,0.008834,0.008834,0.607774,0.613074,0.008834,0.008834,0.217699,0.007067,0.015901,0.005300,0.008834,0.611307,0.614841,0.611307,0.212389,0.008834,0.606007,0.008834,0.614841,0.008834,0.005300,0.005300,0.607774,0.015901,0.008834,0.012367,0.012367,0.007067,0.005300,0.613074,0.005300,0.007067,0.007067,0.609541,0.005300,0.611307,0.008834,0.614841,0.007067,0.007067,0.007067,0.613074,0.008834,0.008834,0.010601,0.607774,0.611307,0.611307,0.613074,0.207080,0.606007,0.003534,0.008834,0.008834,0.005300,0.007067,0.015901,0.613074,0.008834,0.007067,0.007067,0.212389,0.606007,0.008834,0.609541,0.014134,0.022968,0.007067,0.379859,0.379859,0.007067,0.012367,0.010601,0.598940,0.014134,0.012367,0.008834,0.007067,0.005300,0.007067,0.614841,0.010601,0.010601,0.208850,0.614841,0.008834,0.005300,0.007067,0.005300
H1N1CY070461,0.008834,0.000000,0.214159,0.012367,0.604240,0.008834,0.007067,0.007067,0.007067,0.214159,0.210619,0.008834,0.010601,0.010601,0.010601,0.212389,0.008834,0.010601,0.045936,0.007067,0.007067,0.012367,0.010601,0.015901,0.609541,0.008834,0.598940,0.028269,0.010601,0.014134,0.010601,0.014134,0.007067,0.008834,0.010601,0.012367,0.014134,0.611307,0.597173,0.010601,0.602473,0.607774,0.210619,0.007067,0.014134,0.215929,0.008834,0.609541,0.010601,0.010601,0.007067,0.007067,0.015901,0.614841,0.604240,0.012367,0.005300,0.611307,0.017668,0.595406,0.008834,0.214159,0.604240,0.007067,0.015901,0.215929,0.604240,0.005300,0.008834,0.008834,0.010601,0.008834,0.607774,0.008834,0.208850,0.215929,0.012367,0.008834,0.219469,0.015901,0.007067,0.606007,0.614841,0.607774,0.008834,0.017668,0.008834,0.212389,0.214159,0.604240,0.215929,0.008834,0.012367,0.613074,0.607774,0.613074,0.609541,0.609541,0.607774,0.008834,0.015901,0.008834,0.609541,0.017668,0.212389,0.008834,0.012367,0.008834,0.007067,0.015901,0.600707,0.008834,0.010601,0.604240,0.609541,0.007067,0.010601,0.219469,0.008834,0.014134,0.007067,0.010601,0.607774,0.611307,0.607774,0.214159,0.010601,0.602473,0.007067,0.611307,0.010601,0.008834,0.007067,0.604240,0.014134,0.010601,0.010601,0.010601,0.012367,0.007067,0.609541,0.010601,0.008834,0.012367,0.606007,0.007067,0.607774,0.010601,0.611307,0.008834,0.008834,0.005300,0.609541,0.007067,0.008834,0.010601,0.604240,0.607774,0.607774,0.609541,0.208850,0.602473,0.008834,0.010601,0.010601,0.010601,0.007067,0.014134,0.609541,0.007067,0.008834,0.008834,0.214159,0.602473,0.010601,0.606007,0.012367,0.021201,0.008834,0.376325,0.376325,0.008834,0.010601,0.008834,0.595406,0.012367,0.010601,0.007067,0.012367,0.010601,0.008834,0.611307,0.014134,0.008834,0.210619,0.611307,0.007067,0.007067,0.012367,0.007067
H1N1EU199308,0.212389,0.214159,0.000000,0.221239,0.619469,0.214159,0.217699,0.215929,0.217699,0.037168,0.007080,0.215929,0.219469,0.215929,0.217699,0.026549,0.217699,0.217699,0.249558,0.215929,0.212389,0.219469,0.219469,0.221239,0.623009,0.212389,0.621239,0.221239,0.212389,0.221239,0.214159,0.215929,0.215929,0.217699,0.217699,0.219469,0.221239,0.617699,0.617699,0.215929,0.621239,0.617699,0.015929,0.215929,0.217699,0.026549,0.215929,0.621239,0.210619,0.212389,0.215929,0.217699,0.219469,0.623009,0.624779,0.219469,0.215929,0.621239,0.219469,0.617699,0.215929,0.031858,0.621239,0.215929,0.219469,0.024779,0.621239,0.214159,0.214159,0.214159,0.214159,0.210619,0.623009,0.217699,0.023009,0.028319,0.214159,0.215929,0.031858,0.221239,0.214159,0.624779,0.621239,0.617699,0.219469,0.224779,0.215929,0.031858,0.024779,0.621239,0.030088,0.215929,0.217699,0.621239,0.621239,0.621239,0.621239,0.621239,0.621239,0.217699,0.223009,0.215929,0.621239,0.223009,0.026549,0.214159,0.221239,0.215929,0.215929,0.217699,0.621239,0.217699,0.217699,0.621239,0.621239,0.212389,0.219469,0.026549,0.217699,0.219469,0.215929,0.219469,0.624779,0.621239,0.619469,0.028319,0.215929,0.623009,0.215929,0.619469,0.219469,0.214159,0.215929,0.621239,0.219469,0.217699,0.219469,0.217699,0.217699,0.214159,0.623009,0.215929,0.215929,0.214159,0.621239,0.215929,0.621239,0.214159,0.619469,0.217699,0.214159,0.215929,0.623009,0.217699,0.217699,0.219469,0.623009,0.619469,0.621239,0.619469,0.019469,0.617699,0.214159,0.219469,0.219469,0.214159,0.212389,0.223009,0.619469,0.214159,0.214159,0.214159,0.031858,0.623009,0.215929,0.619469,0.221239,0.221239,0.212389,0.380531,0.378761,0.217699,0.217699,0.217699,0.624779,0.214159,0.217699,0.215929,0.215929,0.215929,0.212389,0.615929,0.217699,0.214159,0.008850,0.624779,0.217699,0.214159,0.214159,0.212389
H1N1CY124787,0.014134,0.012367,0.221239,0.000000,0.606007,0.014134,0.012367,0.012367,0.012367,0.217699,0.217699,0.014134,0.008834,0.015901,0.015901,0.219469,0.010601,0.015901,0.051237,0.012367,0.012367,0.010601,0.015901,0.021201,0.611307,0.014134,0.600707,0.031802,0.015901,0.019435,0.015901,0.017668,0.012367,0.014134,0.008834,0.017668,0.008834,0.613074,0.598940,0.015901,0.604240,0.609541,0.217699,0.012367,0.019435,0.223009,0.014134,0.611307,0.015901,0.015901,0.012367,0.012367,0.010601,0.616608,0.606007,0.007067,0.010601,0.613074,0.022968,0.597173,0.014134,0.221239,0.606007,0.010601,0.021201,0.223009,0.606007,0.010601,0.014134,0.014134,0.015901,0.014134,0.609541,0.014134,0.215929,0.223009,0.017668,0.014134,0.226549,0.010601,0.012367,0.607774,0.616608,0.609541,0.014134,0.022968,0.014134,0.219469,0.221239,0.606007,0.223009,0.014134,0.017668,0.614841,0.609541,0.614841,0.611307,0.611307,0.609541,0.014134,0.014134,0.014134,0.611307,0.022968,0.219469,0.014134,0.017668,0.010601,0.012367,0.019435,0.602473,0.010601,0.015901,0.606007,0.611307,0.012367,0.012367,0.226549,0.014134,0.008834,0.012367,0.015901,0.609541,0.613074,0.609541,0.221239,0.015901,0.604240,0.012367,0.613074,0.012367,0.015901,0.012367,0.606007,0.008834,0.012367,0.008834,0.015901,0.017668,0.012367,0.611307,0.015901,0.014134,0.010601,0.607774,0.012367,0.609541,0.015901,0.613074,0.014134,0.014134,0.010601,0.611307,0.012367,0.015901,0.015901,0.606007,0.609541,0.609541,0.611307,0.215929,0.604240,0.014134,0.012367,0.015901,0.015901,0.012367,0.008834,0.611307,0.012367,0.014134,0.014134,0.217699,0.604240,0.015901,0.607774,0.007067,0.015901,0.014134,0.376325,0.376325,0.014134,0.008834,0.012367,0.597173,0.017668,0.015901,0.012367,0.017668,0.015901,0.014134,0.613074,0.019435,0.014134,0.217699,0.613074,0.012367,0.012367,0.017668,0.012367
H3N-JF421757,0.607774,0.604240,0.619469,0.606007,0.000000,0.609541,0.606007,0.607774,0.607774,0.619469,0.619469,0.606007,0.606007,0.609541,0.604240,0.619469,0.606007,0.604240,0.620141,0.606007,0.606007,0.609541,0.607774,0.611307,0.030035,0.606007,0.067138,0.611307,0.604240,0.609541,0.609541,0.606007,0.604240,0.606007,0.607774,0.607774,0.609541,0.045936,0.063604,0.609541,0.026502,0.037102,0.619469,0.604240,0.607774,0.617699,0.604240,0.030035,0.604240,0.609541,0.607774,0.607774,0.607774,0.038869,0.075972,0.609541,0.607774,0.028269,0.611307,0.067138,0.606007,0.615929,0.042403,0.606007,0.607774,0.617699,0.024735,0.607774,0.607774,0.606007,0.606007,0.607774,0.037102,0.606007,0.615929,0.617699,0.604240,0.607774,0.621239,0.611307,0.607774,0.079505,0.044170,0.037102,0.607774,0.611307,0.607774,0.614159,0.617699,0.044170,0.617699,0.607774,0.609541,0.024735,0.040636,0.045936,0.028269,0.038869,0.028269,0.604240,0.609541,0.606007,0.033569,0.614841,0.615929,0.606007,0.607774,0.606007,0.606007,0.606007,0.070671,0.607774,0.606007,0.095406,0.022968,0.607774,0.607774,0.619469,0.606007,0.607774,0.607774,0.609541,0.037102,0.019435,0.031802,0.617699,0.609541,0.070671,0.606007,0.030035,0.607774,0.609541,0.606007,0.040636,0.609541,0.607774,0.609541,0.606007,0.611307,0.606007,0.040636,0.611307,0.606007,0.607774,0.040636,0.606007,0.026502,0.607774,0.044170,0.607774,0.606007,0.607774,0.031802,0.606007,0.606007,0.609541,0.077739,0.033569,0.026502,0.017668,0.619469,0.093640,0.609541,0.609541,0.607774,0.607774,0.606007,0.609541,0.033569,0.607774,0.606007,0.606007,0.617699,0.045936,0.606007,0.022968,0.609541,0.607774,0.606007,0.637809,0.639576,0.606007,0.607774,0.607774,0.061837,0.609541,0.602473,0.607774,0.609541,0.609541,0.607774,0.033569,0.611307,0.607774,0.619469,0.037102,0.606007,0.607774,0.609541,0.606007
H1N1GQ168664,0.003534,0.008834,0.214159,0.014134,0.609541,0.000000,0.008834,0.005300,0.008834,0.214159,0.210619,0.007067,0.012367,0.008834,0.008834,0.212389,0.007067,0.008834,0.040636,0.005300,0.005300,0.014134,0.008834,0.014134,0.614841,0.007067,0.604240,0.028269,0.012367,0.012367,0.005300,0.012367,0.005300,0.007067,0.012367,0.010601,0.015901,0.616608,0.602473,0.008834,0.607774,0.613074,0.210619,0.005300,0.012367,0.215929,0.007067,0.614841,0.008834,0.005300,0.005300,0.008834,0.017668,0.620141,0.609541,0.014134,0.007067,0.616608,0.019435,0.600707,0.007067,0.214159,0.609541,0.008834,0.014134,0.215929,0.609541,0.007067,0.003534,0.007067,0.008834,0.003534,0.613074,0.007067,0.208850,0.215929,0.010601,0.007067,0.219469,0.017668,0.005300,0.611307,0.620141,0.613074,0.010601,0.015901,0.007067,0.212389,0.214159,0.609541,0.215929,0.007067,0.010601,0.618375,0.613074,0.618375,0.613074,0.614841,0.613074,0.007067,0.017668,0.007067,0.614841,0.015901,0.212389,0.007067,0.014134,0.007067,0.005300,0.010601,0.606007,0.010601,0.008834,0.609541,0.614841,0.008834,0.008834,0.219469,0.007067,0.015901,0.005300,0.008834,0.613074,0.616608,0.613074,0.214159,0.008834,0.607774,0.008834,0.616608,0.008834,0.005300,0.005300,0.609541,0.015901,0.008834,0.012367,0.012367,0.007067,0.005300,0.614841,0.005300,0.007067,0.007067,0.611307,0.005300,0.613074,0.008834,0.616608,0.007067,0.007067,0.007067,0.614841,0.008834,0.008834,0.012367,0.609541,0.613074,0.613074,0.614841,0.208850,0.607774,0.003534,0.008834,0.008834,0.005300,0.008834,0.015901,0.614841,0.008834,0.007067,0.007067,0.214159,0.607774,0.008834,0.611307,0.014134,0.022968,0.007067,0.381625,0.381625,0.007067,0.012367,0.010601,0.600707,0.014134,0.012367,0.008834,0.007067,0.005300,0.007067,0.616608,0.010601,0.010601,0.210619,0.616608,0.008834,0.005300,0.007067,0.005300
H1N1CY093141,0.008834,0.007067,0.217699,0.012367,0.606007,0.008834,0.000000,0.007067,0.007067,0.217699,0.214159,0.008834,0.010601,0.010601,0.010601,0.214159,0.008834,0.010601,0.044170,0.007067,0.007067,0.012367,0.010601,0.015901,0.611307,0.008834,0.600707,0.024735,0.010601,0.012367,0.010601,0.014134,0.007067,0.008834,0.010601,0.012367,0.014134,0.613074,0.598940,0.010601,0.604240,0.609541,0.214159,0.007067,0.014134,0.219469,0.008834,0.611307,0.010601,0.010601,0.007067,0.007067,0.015901,0.616608,0.606007,0.012367,0.005300,0.613074,0.017668,0.597173,0.008834,0.215929,0.606007,0.007067,0.015901,0.219469,0.606007,0.005300,0.008834,0.008834,0.010601,0.008834,0.609541,0.008834,0.212389,0.219469,0.012367,0.008834,0.223009,0.015901,0.007067,0.607774,0.616608,0.609541,0.008834,0.017668,0.008834,0.215929,0.217699,0.606007,0.219469,0.008834,0.012367,0.614841,0.609541,0.614841,0.611307,0.611307,0.609541,0.008834,0.015901,0.008834,0.611307,0.017668,0.215929,0.008834,0.008834,0.008834,0.007067,0.015901,0.602473,0.008834,0.010601,0.606007,0.611307,0.007067,0.010601,0.223009,0.008834,0.014134,0.007067,0.010601,0.609541,0.613074,0.609541,0.217699,0.010601,0.604240,0.003534,0.613074,0.010601,0.010601,0.007067,0.606007,0.014134,0.010601,0.010601,0.010601,0.012367,0.007067,0.611307,0.010601,0.008834,0.012367,0.607774,0.007067,0.609541,0.010601,0.613074,0.008834,0.008834,0.005300,0.611307,0.007067,0.010601,0.010601,0.606007,0.609541,0.609541,0.611307,0.212389,0.604240,0.008834,0.010601,0.010601,0.010601,0.007067,0.014134,0.611307,0.007067,0.008834,0.008834,0.217699,0.604240,0.010601,0.607774,0.012367,0.021201,0.008834,0.376325,0.376325,0.008834,0.010601,0.008834,0.597173,0.012367,0.010601,0.007067,0.012367,0.010601,0.008834,0.613074,0.014134,0.008834,0.212389,0.613074,0.003534,0.007067,0.012367,0.007067
H1N1AB568188,0.005300,0.007067,0.215929,0.012367,0.607774,0.005300,0.007067,0.000000,0.007067,0.215929,0.212389,0.005300,0.010601,0.007067,0.007067,0.214159,0.005300,0.007067,0.042403,0.003534,0.003534,0.012367,0.007067,0.012367,0.613074,0.005300,0.602473,0.026502,0.010601,0.010601,0.007067,0.010601,0.003534,0.005300,0.010601,0.008834,0.014134,0.614841,0.600707,0.007067,0.606007,0.611307,0.212389,0.003534,0.010601,0.217699,0.005300,0.613074,0.007067,0.007067,0.003534,0.007067,0.015901,0.618375,0.607774,0.012367,0.005300,0.614841,0.017668,0.598940,0.005300,0.215929,0.607774,0.007067,0.012367,0.217699,0.607774,0.005300,0.005300,0.005300,0.007067,0.005300,0.611307,0.005300,0.210619,0.217699,0.008834,0.005300,0.221239,0.015901,0.003534,0.609541,0.618375,0.611307,0.008834,0.014134,0.005300,0.214159,0.215929,0.607774,0.217699,0.005300,0.008834,0.616608,0.611307,0.616608,0.613074,0.613074,0.611307,0.005300,0.015901,0.005300,0.613074,0.012367,0.214159,0.005300,0.012367,0.005300,0.003534,0.012367,0.604240,0.008834,0.007067,0.607774,0.613074,0.007067,0.007067,0.221239,0.005300,0.014134,0.003534,0.007067,0.611307,0.614841,0.611307,0.215929,0.007067,0.606007,0.007067,0.614841,0.007067,0.007067,0.003534,0.607774,0.014134,0.007067,0.010601,0.010601,0.008834,0.003534,0.613074,0.007067,0.005300,0.008834,0.609541,0.003534,0.611307,0.007067,0.614841,0.005300,0.005300,0.005300,0.613074,0.007067,0.007067,0.010601,0.607774,0.611307,0.611307,0.613074,0.210619,0.606007,0.005300,0.007067,0.007067,0.007067,0.007067,0.014134,0.613074,0.007067,0.005300,0.005300,0.215929,0.606007,0.007067,0.609541,0.012367,0.021201,0.005300,0.379859,0.379859,0.005300,0.010601,0.008834,0.598940,0.012367,0.010601,0.007067,0.008834,0.007067,0.005300,0.614841,0.010601,0.008834,0.212389,0.614841,0.007067,0.003534,0.008834,0.003534
H1N1CY064458,0.008834,0.007067,0.217699,0.012367,0.607774,0.008834,0.007067,0.007067,0.000000,0.217699,0.214159,0.008834,0.010601,0.010601,0.010601,0.215929,0.008834,0.010601,0.045936,0.007067,0.007067,0.012367,0.010601,0.015901,0.613074,0.008834,0.602473,0.028269,0.010601,0.014134,0.010601,0.014134,0.007067,0.008834,0.010601,0.012367,0.014134,0.614841,0.600707,0.010601,0.606007,0.611307,0.214159,0.007067,0.014134,0.219469,0.008834,0.613074,0.010601,0.010601,0.007067,0.007067,0.015901,0.618375,0.607774,0.012367,0.005300,0.614841,0.017668,0.598940,0.008834,0.217699,0.607774,0.007067,0.015901,0.219469,0.607774,0.005300,0.008834,0.008834,0.010601,0.008834,0.611307,0.008834,0.212389,0.219469,0.012367,0.008834,0.223009,0.015901,0.007067,0.609541,0.618375,0.611307,0.008834,0.017668,0.008834,0.215929,0.217699,0.607774,0.219469,0.008834,0.012367,0.616608,0.611307,0.616608,0.613074,0.613074,0.611307,0.008834,0.015901,0.008834,0.613074,0.017668,0.215929,0.008834,0.012367,0.008834,0.007067,0.015901,0.604240,0.008834,0.010601,0.607774,0.613074,0.007067,0.010601,0.223009,0.008834,0.014134,0.007067,0.010601,0.611307,0.614841,0.611307,0.217699,0.010601,0.606007,0.007067,0.614841,0.010601,0.010601,0.007067,0.607774,0.014134,0.010601,0.010601,0.010601,0.012367,0.007067,0.613074,0.010601,0.008834,0.012367,0.609541,0.007067,0.611307,0.010601,0.614841,0.008834,0.008834,0.005300,0.613074,0.007067,0.010601,0.010601,0.607774,0.611307,0.611307,0.613074,0.212389,0.606007,0.008834,0.010601,0.010601,0.010601,0.007067,0.014134,0.613074,0.007067,0.008834,0.008834,0.217699,0.606007,0.010601,0.609541,0.012367,0.021201,0.008834,0.379859,0.379859,0.008834,0.010601,0.008834,0.598940,0.012367,0.010601,0.007067,0.012367,0.010601,0.008834,0.614841,0.014134,0.008834,0.214159,0.614841,0.007067,0.007067,0.012367,0.007067
H1N1EU779632,0.212389,0.214159,0.037168,0.217699,0.619469,0.214159,0.217699,0.215929,0.217699,0.000000,0.033628,0.215929,0.215929,0.215929,0.217699,0.024779,0.217699,0.217699,0.249558,0.215929,0.212389,0.215929,0.219469,0.221239,0.623009,0.212389,0.621239,0.221239,0.212389,0.221239,0.214159,0.215929,0.215929,0.217699,0.214159,0.219469,0.217699,0.619469,0.617699,0.215929,0.621239,0.621239,0.044248,0.215929,0.217699,0.030088,0.215929,0.623009,0.210619,0.212389,0.215929,0.217699,0.217699,0.624779,0.626549,0.215929,0.215929,0.621239,0.219469,0.617699,0.215929,0.028319,0.621239,0.215929,0.219469,0.026549,0.621239,0.214159,0.214159,0.214159,0.214159,0.210619,0.623009,0.217699,0.023009,0.028319,0.214159,0.215929,0.031858,0.217699,0.214159,0.626549,0.623009,0.621239,0.219469,0.224779,0.215929,0.028319,0.024779,0.621239,0.030088,0.215929,0.217699,0.621239,0.623009,0.623009,0.624779,0.623009,0.621239,0.217699,0.219469,0.215929,0.624779,0.223009,0.026549,0.214159,0.221239,0.212389,0.215929,0.217699,0.623009,0.214159,0.217699,0.624779,0.621239,0.212389,0.219469,0.030088,0.217699,0.215929,0.215929,0.219469,0.626549,0.621239,0.621239,0.024779,0.215929,0.623009,0.215929,0.623009,0.219469,0.214159,0.215929,0.623009,0.215929,0.214159,0.215929,0.217699,0.217699,0.214159,0.624779,0.215929,0.215929,0.210619,0.624779,0.215929,0.621239,0.215929,0.621239,0.217699,0.214159,0.215929,0.624779,0.217699,0.217699,0.219469,0.624779,0.621239,0.623009,0.619469,0.042478,0.621239,0.214159,0.219469,0.219469,0.212389,0.212389,0.219469,0.623009,0.214159,0.214159,0.214159,0.026549,0.623009,0.215929,0.623009,0.217699,0.217699,0.212389,0.382301,0.380531,0.217699,0.214159,0.217699,0.621239,0.214159,0.217699,0.215929,0.217699,0.215929,0.212389,0.619469,0.217699,0.214159,0.035398,0.626549,0.217699,0.214159,0.214159,0.212389
