H1N1|JX309861|A/Singapore/GP4266/2010,0.000000,0.092784,0.175258,0.175258,0.175258,0.030928,0.175258,0.175258,0.164948,0.175258,0.164948,0.030928,0.131579,0.020619,0.034884,0.022989,0.206186,0.030928,0.031250,0.020619,0.175258,0.030928,0.206186,0.206186,0.041237,0.164948,0.164948,0.206186,0.185567,0.175258,0.175258,0.200000,0.175258,0.206186,0.195876,0.030928,0.164948,0.030928,0.023810,0.020619,0.164948,0.175258,0.195876,0.030928,0.175258,0.144330,0.175258,0.082474,0.206186,0.041237
H5N1|HM114476|A/Vietnam/UT3035/2003(H5N1),0.092784,0.000000,0.164948,0.164948,0.164948,0.092784,0.164948,0.164948,0.164948,0.164948,0.154639,0.092784,0.131579,0.082474,0.104651,0.091954,0.195876,0.092784,0.093750,0.092784,0.164948,0.092784,0.206186,0.206186,0.103093,0.164948,0.175258,0.206186,0.175258,0.164948,0.164948,0.189474,0.164948,0.195876,0.195876,0.092784,0.154639,0.092784,0.095238,0.103093,0.154639,0.164948,0.195876,0.092784,0.164948,0.134021,0.164948,0.082474,0.206186,0.103093
H3N2|CY113958|A/Akita/4/1993,0.175258,0.164948,0.000000,0.020619,0.020619,0.175258,0.020619,0.020619,0.041237,0.041237,0.041237,0.164948,0.039474,0.164948,0.174419,0.160920,0.051546,0.175258,0.177083,0.175258,0.051546,0.175258,0.092784,0.092784,0.185567,0.041237,0.061856,0.092784,0.030928,0.041237,0.030928,0.063158,0.041237,0.041237,0.092784,0.175258,0.020619,0.175258,0.154762,0.185567,0.041237,0.041237,0.082474,0.175258,0.010309,0.030928,0.030928,0.144330,0.103093,0.185567
H3N2|CY113750|A/Netherlands/938/1991,0.175258,0.164948,0.020619,0.000000,0.020619,0.175258,0.020619,0.020619,0.041237,0.041237,0.041237,0.164948,0.039474,0.164948,0.174419,0.160920,0.051546,0.175258,0.177083,0.175258,0.051546,0.175258,0.092784,0.092784,0.185567,0.041237,0.061856,0.092784,0.030928,0.041237,0.030928,0.063158,0.041237,0.051546,0.092784,0.175258,0.020619,0.175258,0.154762,0.185567,0.051546,0.041237,0.082474,0.175258,0.020619,0.030928,0.030928,0.144330,0.103093,0.185567
H3N2|CY068891|A/Memphis/4/2002(H3N2),0.175258,0.164948,0.020619,0.020619,0.000000,0.175258,0.020619,0.020619,0.041237,0.041237,0.041237,0.164948,0.039474,0.164948,0.174419,0.160920,0.051546,0.175258,0.177083,0.175258,0.051546,0.175258,0.092784,0.092784,0.185567,0.041237,0.061856,0.092784,0.030928,0.041237,0.030928,0.063158,0.041237,0.051546,0.092784,0.175258,0.020619,0.175258,0.154762,0.185567,0.051546,0.041237,0.082474,0.175258,0.020619,0.030928,0.030928,0.144330,0.103093,0.185567
H1N1|CY055789|A/Australia/53/2009(H1N1),0.030928,0.092784,0.175258,0.175258,0.175258,0.000000,0.175258,0.154639,0.164948,0.175258,0.164948,0.020619,0.131579,0.010309,0.023256,0.011494,0.206186,0.020619,0.020833,0.030928,0.175258,0.020619,0.206186,0.206186,0.030928,0.164948,0.164948,0.206186,0.185567,0.175258,0.175258,0.200000,0.175258,0.206186,0.195876,0.020619,0.164948,0.020619,0.011905,0.010309,0.164948,0.175258,0.195876,0.020619,0.175258,0.144330,0.175258,0.082474,0.206186,0.030928
H3N2|CY112405|A/Beijing/352/1989,0.175258,0.164948,0.020619,0.020619,0.020619,0.175258,0.000000,0.020619,0.041237,0.041237,0.041237,0.164948,0.039474,0.164948,0.174419,0.160920,0.051546,0.175258,0.177083,0.175258,0.051546,0.175258,0.092784,0.092784,0.185567,0.041237,0.061856,0.092784,0.030928,0.041237,0.030928,0.063158,0.041237,0.051546,0.092784,0.175258,0.020619,0.175258,0.154762,0.185567,0.051546,0.041237,0.082474,0.175258,0.020619,0.030928,0.030928,0.144330,0.103093,0.185567
H3N2|CY118523|A/Malaysia/12550/1997(H3N2),0.175258,0.164948,0.020619,0.020619,0.020619,0.154639,0.020619,0.000000,0.041237,0.041237,0.041237,0.164948,0.039474,0.164948,0.174419,0.160920,0.051546,0.175258,0.177083,0.175258,0.051546,0.175258,0.092784,0.092784,0.185567,0.041237,0.061856,0.092784,0.030928,0.041237,0.030928,0.063158,0.041237,0.051546,0.092784,0.175258,0.020619,0.175258,0.154762,0.164948,0.051546,0.041237,0.082474,0.175258,0.020619,0.030928,0.030928,0.144330,0.103093,0.185567
H3N2|KC535376|A/Kentucky/21/2009,0.164948,0.164948,0.041237,0.041237,0.041237,0.164948,0.041237,0.041237,0.000000,0.041237,0.061856,0.154639,0.013158,0.154639,0.162791,0.149425,0.072165,0.154639,0.166667,0.164948,0.072165,0.164948,0.092784,0.092784,0.175258,0.020619,0.082474,0.092784,0.051546,0.020619,0.030928,0.042105,0.020619,0.051546,0.092784,0.164948,0.041237,0.164948,0.142857,0.175258,0.030928,0.020619,0.082474,0.164948,0.041237,0.030928,0.020619,0.144330,0.103093,0.175258
H3N2|CY114390|A/Netherlands/42/2006,0.175258,0.164948,0.041237,0.041237,0.041237,0.175258,0.041237,0.041237,0.041237,0.000000,0.061856,0.164948,0.039474,0.164948,0.174419,0.160920,0.072165,0.164948,0.177083,0.175258,0.072165,0.175258,0.113402,0.113402,0.185567,0.041237,0.082474,0.113402,0.051546,0.041237,0.030928,0.052632,0.041237,0.051546,0.113402,0.175258,0.041237,0.175258,0.154762,0.185567,0.030928,0.020619,0.103093,0.175258,0.041237,0.051546,0.030928,0.144330,0.123711,0.185567
